,Date,Exchange Rate
245,2022-03-27,573.41
246,2022-03-26,573.41
247,2022-03-25,573.41
248,2022-03-24,573.41
249,2022-03-23,573.41
250,2022-03-22,573.41
251,2022-03-21,573.41
252,2022-03-20,574.394
253,2022-03-19,574.394
254,2022-03-18,574.394
255,2022-03-17,574.394
256,2022-03-16,573.41
257,2022-03-15,572.429
258,2022-03-14,571.429
259,2022-03-13,571.429
260,2022-03-12,571.429
261,2022-03-11,571.429
262,2022-03-10,571.429
